name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;184;0;400;3075;1056;3075;1056;0
header;193;169;193;206;1814;206;1814;169
A;994;231;994;259;1018;259;1018;231
A;756;799;756;805;762;805;762;799
A;988;867;988;867;988;867;988;867
B;994;1018;994;1046;1016;1046;1016;1018
A;907;1117;907;1119;907;1119;907;1117
B;723;1248;723;1267;737;1267;737;1248
B;965;1295;965;1314;980;1314;980;1295
C;997;1695;997;1724;1018;1724;1018;1695
B;637;1719;637;1732;646;1732;646;1719
B;605;2254;605;2274;621;2274;621;2254
B;965;2256;965;2275;981;2275;981;2256
D;1000;2369;1000;2397;1022;2397;1022;2369
B;546;2620;546;2636;570;2636;570;2620
B;885;2624;885;2639;908;2639;908;2624
B;976;2661;976;2675;997;2675;997;2661
