name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;252;0;552;3065;980;3065;1211;0
header;259;105;259;156;1464;156;1464;105
A;638;45;638;47;640;47;640;45
A;412;265;412;270;417;270;417;265
A;1119;684;1119;686;1122;686;1122;684
A;1033;777;1033;787;1038;787;1038;777
B;938;1010;938;1029;951;1029;951;1010
A;554;1215;554;1242;561;1242;561;1215
A;1025;1225;1025;1230;1030;1230;1030;1225
A;900;1616;900;1621;905;1621;905;1616
A;430;1755;430;1760;435;1760;435;1755
C;781;2467;781;2485;795;2485;795;2467
A;783;2538;783;2543;788;2543;788;2538
